,BNF_code,NAME,UNII_drugbank
826,040201050,Sertindole                                                  ,GVV4Z879SP
827,040201060,Olanzapine                                                  ,N7U69T4SZR
828,0402020AA,Risperidone                                                 ,L6UH7ZF8HC
829,0402020AB,Paliperidone                                                ,838F01T721
830,0402020AC,Olanzapine Embonate                                         ,N7U69T4SZR
831,0402020AD,Aripiprazole                                                ,82VFR53I78
832,0402020G0,Flupentixol Decanoate                                       ,FA0UYH6QUO
833,0402020L0,Fluphenazine Decanoate                                      ,S79426A41Z
834,0402020P0,Fluphenazine Enantate                                       ,S79426A41Z
835,0402020R0,Fluspirilene                                                ,C5QA4GLR9M
836,0402020T0,Haloperidol Decanoate                                       ,J6292F8L3D
837,0402020V0,Pipotiazine Palmitate                                       ,L903J9JPYV
838,0402020Z0,Zuclopenthixol Decanoate                                    ,47ISU063SG
839,0402030K0,Lithium Carbonate                                           ,[]
840,0402030P0,Lithium Citrate                                             ,[]
841,0402030Q0,Valproic Acid                                               ,614OI1Z5WI
842,0402030R0,Asenapine                                                   ,JKZ19V908O
843,040203000,Other Mania & Hypomania Preps                               ,[]
844,0403010B0,Amitriptyline Hydrochloride                                 ,1806D8D52K
845,0403010C0,Amoxapine                                                   ,R63VQ857OT
846,0403010D0,Butriptyline                                                ,Z22441975X
847,0403010E0,Amitriptyline Embonate                                      ,1806D8D52K
848,0403010F0,Clomipramine Hydrochloride                                  ,NUV44L116D
849,0403010G0,Dibenzepin Hydrochloride                                    ,510SJZ1Y6L
850,0403010H0,Desipramine Hydrochloride                                   ,TG537D343B
851,0403010I0,Amineptine Hydrochloride                                    ,27T1I13L6G
852,0403010J0,Dosulepin Hydrochloride                                     ,W13O82Z7HL
853,0403010L0,Doxepin                                                     ,[]
854,0403010N0,Imipramine Hydrochloride                                    ,OGG85SX4E4
855,0403010P0,Nomifensine Hydrogen Maleate                                ,1LGS5JRP31
856,0403010Q0,Iprindole                                                   ,69U0IKR8FP
857,0403010R0,Lofepramine Hydrochloride                                   ,OCA4JT7PAW
858,0403010S0,Maprotiline Hydrochloride                                   ,2U1W68TROF
859,0403010T0,Mianserin Hydrochloride                                     ,250PJI13LM
860,0403010V0,Nortriptyline                                               ,BL03SY4LXB
861,0403010W0,Protriptyline Hydrochloride                                 ,4NDU154T12
862,0403010X0,Trazodone Hydrochloride                                     ,YBK48BXK30
863,0403010Y0,Trimipramine Maleate                                        ,6S082C9NDT
864,0403010Z0,Viloxazine Hydrochloride                                    ,5I5Y2789ZF
865,0403020C0,Iproniazid                                                  ,[]
866,0403020H0,Isocarboxazid                                               ,34237V843T
867,0403020K0,Moclobemide                                                 ,PJ0Y7AZB63
868,0403020M0,Phenelzine Sulfate                                          ,O408N561GF
869,0403020Q0,Tranylcypromine Sulfate                                     ,3E3V44J4Z9
870,0403030D0,Citalopram Hydrobromide                                     ,0DHU5B8D6V
871,0403030E0,Fluoxetine Hydrochloride                                    ,01K63SUP8D
872,0403030L0,Fluvoxamine Maleate                                         ,O4L1XPO44W
873,0403030P0,Paroxetine Hydrochloride                                    ,41VRH5220H
874,0403030Q0,Sertraline Hydrochloride                                    ,QUC7NX6WMB
875,0403030X0,Escitalopram                                                ,4O4S742ANY
876,0403030Y0,Duloxetine Hydrochloride (old)                              ,O5TNM5N07U
877,0403030Z0,Citalopram Hydrochloride                                    ,0DHU5B8D6V
878,0403040AA,Levomilnacipran                                             ,[]
879,0403040AB,Vortioxetine                                                ,3O2K1S3WQV
880,0403040B0,Bupropion Hydrochloride                                     ,01ZG3TPX31
881,0403040F0,Flupentixol Hydrochloride                                   ,FA0UYH6QUO
882,0403040M0,5-Hydroxytryptophan                                         ,[]
883,0403040N0,Minaprine Hydrochloride                                     ,00U7GX0NLM
884,0403040R0,Oxitriptan                                                  ,C1LJO185Q9
885,0403040S0,Tryptophan                                                  ,[]
886,0403040T0,Nefazodone Hydrochloride                                    ,59H4FCV1TF
887,0403040U0,Reboxetine                                                  ,947S0YZ36I
888,0403040W0,Venlafaxine                                                 ,GRZ5RCB1QG
889,0403040X0,Mirtazapine                                                 ,A051Q2099Q
890,0403040Y0,Duloxetine Hydrochloride                                    ,O5TNM5N07U
891,0403040Z0,Agomelatine                                                 ,137R1N49AD
892,040304000,Other Antidepressant Preps                                  ,[]
893,0404000A0,Amfetamine Sulfate                                          ,[]
894,0404000D0,Caffeine                                                    ,3G6A5W338E
895,0404000E0,Caffeine Citrate                                            ,3G6A5W338E
896,0404000G0,Deanol                                                      ,2N6K9DRA24
897,0404000L0,Dexamfetamine Sulfate                                       ,[]
898,0404000M0,Methylphenidate Hydrochloride                               ,207ZZ9QZ49
899,0404000N0,Methylamfetamine Hydrochloride                              ,[]
900,0404000P0,Pemoline                                                    ,7GAQ2332NK
901,0404000R0,Modafinil                                                   ,R3UK8X3U3D
902,0404000S0,Atomoxetine Hydrochloride                                   ,ASW034S0B8
903,0404000T0,Dexmethylphenidate Hydrochloride                            ,M32RH9MFGP
904,0404000U0,Lisdexamfetamine Dimesylate                                 ,H645GUL8KJ
905,0404000V0,Guanfacine                                                  ,30OMY4G3MK
906,0405010M0,Methylcellulose                                             ,[]
907,0405010P0,Orlistat                                                    ,95M8R751W8
908,0405010S0,Sterculia                                                   ,[]
909,0405020D0,Dexfenfluramine Hydrochloride                               ,E35R3G56OV
910,0405020E0,Diethylpropion Hydrochloride                                ,Q94YYU22B8
911,0405020I0,Fenfluramine Hydrochloride                                  ,2DS058H2CF
912,0405020N0,Mazindol                                                    ,C56709M5NH
913,0405020R0,Phentermine                                                 ,C045TQL4WP
914,0405020S0,Sibutramine                                                 ,WV5EC51866
915,0405020T0,Rimonabant                                                  ,RML78EN3XE
916,0406000AA,Doxylamine Succinate/Pyridoxine HCl                         ,95QB77JKPL
917,0406000AB,Palonosetron Hydrochloride                                  ,5D06587D6R
918,0406000AC,Dimenhydrinate/Cinnarizine                                  ,3DI2E1X18L
919,0406000AD,Aprepitant                                                  ,1NF15YR6UY
920,0406000AE,Fosaprepitant                                               ,[]
921,0406000AF,Granisetron                                                 ,WZG3J2MCOL
922,0406000AG,Netupitant/Palonosetron Hcl                                 ,[]
923,0406000A0,Hyoscine                                                    ,[]
924,0406000B0,Betahistine Hydrochloride                                   ,X32KK4201D
925,0406000C0,Buclizine Hydrochloride                                     ,0C94V6X681
926,0406000D0,Cinnarizine                                                 ,3DI2E1X18L
927,0406000E0,Flunarizine Hydrochloride                                   ,R7PLA2DM0J
928,0406000F0,Cyclizine Hydrochloride                                     ,QRW9FCR9P2
929,0406000G0,Cyclizine Lactate                                           ,QRW9FCR9P2
930,0406000H0,Dimenhydrinate                                              ,[]
931,0406000I0,Difenidol Hydrochloride                                     ,[]
932,0406000J0,Domperidone                                                 ,5587267Z69
933,0406000L0,Hyoscine Hydrobromide                                       ,[]
934,0406000M0,Granisetron Hydrochloride                                   ,WZG3J2MCOL
935,0406000N0,Meclozine Hydrochloride                                     ,[]
936,0406000P0,Metoclopramide Hydrochloride                                ,L4YEB44I46
937,0406000Q0,Ginger                                                      ,[]
938,0406000R0,Nabilone                                                    ,2N4O9L084N
939,0406000S0,Ondansetron Hydrochloride                                   ,4AF302ESOS
940,0406000T0,Prochlorperazine Maleate                                    ,YHP6YLT61T
941,0406000U0,Prochlorperazine Mesilate                                   ,YHP6YLT61T
942,0406000V0,Promethazine Teoclate                                       ,FF28EJQ494
943,0406000W0,Ketamine Hydrochloride                                      ,690G0D6V8H
944,0406000X0,Thiethylperazine Maleate                                    ,8ETK1WAF6R
945,0406000Y0,Tropisetron                                                 ,6I819NIK1W
946,0406000Z0,Dolasetron Mesilate                                         ,82WI2L7Q6E
947,040600000,Other Nausea & Vertigo Preps                                ,[]
948,0407010AA,Aspirin & Caffeine                                          ,3G6A5W338E
949,0407010AB,Paracetamol & Phenylephrine HCl                             ,1WS297W6MV
950,0407010AC,Isometheptene Mucate                                        ,Y7L24THH6T
951,0407010AD,Paracetamol & Ibuprofen                                     ,WK2XYI10QM
952,0407010A0,Aspirin & Papaveretum                                       ,[]
953,0407010B0,Aspirin                                                     ,[]
954,0407010D0,Dipyrone Sodium                                             ,[]
955,0407010F0,Co-Codamol (Codeine Phos/Paracetamol)                       ,[]
956,0407010H0,Paracetamol                                                 ,[]
957,0407010J0,Phenazone                                                   ,[]
958,0407010K0,Phenol                                                      ,339NCG44TV
959,0407010M0,Co-Codaprin (Codeine Phos/Aspirin)                          ,[]
960,0407010N0,Co-Dydramol (Dihydrocodeine/Paracet)                        ,[]
961,0407010P0,Nefopam Hydrochloride                                       ,4UP8060B7J
962,0407010Q0,Co-Proxamol (Dextroprop HCl/Paracet)                        ,[]
963,0407010R0,Aspirin Phenacetin & Codeine(Codeine Co)                    ,ER0CTH01H9
964,0407010S0,Aspirin & Paracetamol                                       ,[]
965,0407010T0,Aspirin Paracetamol & Codeine                               ,UX6OWY2V7J
966,0407010U0,Paracetamol & Caffeine                                      ,3G6A5W338E
967,0407010V0,Paracetamol & Codeine Phosphate                             ,UX6OWY2V7J
968,0407010W0,Aspirin Combined Preparations                               ,[]
969,0407010X0,Paracetamol Combined Preparations                           ,[]
970,0407010Z0,Aloxiprin                                                   ,6QT214X4XU
971,040701000,Other Non-Opioid Analgesic Preps                            ,[]
972,040701010,Lysine Aspirin                                              ,[]
973,040701020,Co-Methiamol (Methionine/Paracetamol)                       ,[]
974,0407020AA,Butorphanol Tartrate                                        ,QV897JC36D
975,0407020AB,Papaveretum                                                 ,[]
976,0407020AC,Phenoperidine Hydrochloride                                 ,G9BH09J4JW
977,0407020AD,Oxycodone Hydrochloride                                     ,CD35PMG570
978,0407020AE,Diamorphine Hydrochloride (Top)                             ,70D95007SX
979,0407020AF,Oxycodone HCl/Naloxone HCl                                  ,CD35PMG570
980,0407020AG,Tapentadol Hydrochloride                                    ,H8A007M585
981,0407020A0,Fentanyl                                                    ,UF599785JZ
982,0407020B0,Buprenorphine                                               ,40D3SCR4GZ
983,0407020C0,Codeine Phosphate                                           ,UX6OWY2V7J
984,0407020D0,Dextromoramide Tartrate                                     ,9S4S6CIY83
985,0407020E0,Dextropropoxyphene                                          ,S2F83W92TK
986,0407020G0,Dihydrocodeine Tartrate                                     ,N9I9HDB855
987,0407020H0,Dipipanone Hydrochloride                                    ,[]
988,0407020J0,Levorphanol Tartrate                                        ,[]
989,0407020K0,Diamorphine Hydrochloride (Systemic)                        ,70D95007SX
990,0407020L0,Meptazinol Hydrochloride                                    ,18Y7S5JKZD
991,0407020M0,Methadone Hydrochloride                                     ,UC6VBE7V1Z
992,0407020N0,Morphine                                                    ,76I7G6D29C
993,0407020P0,Morphine Hydrochloride                                      ,76I7G6D29C
994,0407020Q0,Morphine Sulfate                                            ,76I7G6D29C
995,0407020T0,Pentazocine Hydrochloride                                   ,768DQ5A5AI
996,0407020U0,Pentazocine Lactate                                         ,768DQ5A5AI
997,0407020V0,Pethidine Hydrochloride                                     ,[]
998,0407020W0,Powdered Opium                                              ,37M3MZ001L
999,0407020X0,Phenazocine Hydrobromide                                    ,7UZW80C91Q
1000,0407020Y0,Nalbuphine Hydrochloride                                    ,L2T84IQI2K
1001,0407020Z0,Oxycodone                                                   ,CD35PMG570
1002,040702010,Morphine Anhydrous                                          ,76I7G6D29C
1003,040702020,Morphine Tartrate & Cyclizine Tartrate                      ,QRW9FCR9P2
1004,040702040,Tramadol Hydrochloride                                      ,0NG5TTM63P
1005,040702050,Hydromorphone Hydrochloride                                 ,Q812464R06
1006,0407030AB,Cannabis                                                    ,[]
1007,0407030AD,Gabapentin (Neuropathic Pain)                               ,6CW7F3G59X
1008,0407030AE,Capsaicin (Neuropathic Pain)                                ,S07O44R1ZM
1009,0407041AA,Eletriptan                                                  ,22QOO9B8KI
1010,0407041AB,Frovatriptan                                                ,H82Q2D5WA7
1011,0407041A0,Analgesics with Anti-Emetics                                ,[]
1012,0407041B0,Almotriptan                                                 ,1O4XL5SN61
1013,0407041D0,Dihydroergotamine Mesilate                                  ,436O5HM03C
1014,0407041F0,Ergotamine Tartrate                                         ,PR834Q503T
1015,0407041M0,Naratriptan Hydrochloride                                   ,QX3KXL1ZA2
1016,0407041R0,Rizatriptan                                                 ,51086HBW8G
1017,0407041T0,Sumatriptan Succinate                                       ,8R78F6L9VO
1018,0407041U0,Tolfenamic Acid                                             ,3G943U18KM
1019,0407041Z0,Zolmitriptan                                                ,2FS66TH3YW
1020,040704100,Other Treatment of Acute Migraine Preps                     ,[]
1021,0407042A0,Semisodium Valproate                                        ,[]
1022,0407042F0,Clonidine Hydrochloride                                     ,MN3L5RMN02
1023,0407042L0,Methysergide                                                ,XZA9HY6Z98
1024,0407042Q0,Pizotifen Malate                                            ,0BY8440V3N
1025,040704200,Other Prophylaxis of Migraine Preps                         ,[]
1026,0408010AA,Felbamate                                                   ,X72RBB02N8
1027,0408010AB,Tiagabine                                                   ,Z80I64HMNP
1028,0408010AC,Semisodium Valproate                                        ,[]
1029,0408010AD,Zonisamide                                                  ,459384H98V
1030,0408010AE,Pregabalin                                                  ,55JG375S6M
1031,0408010AF,Rufinamide                                                  ,WFW942PR79
1032,0408010AG,Stiripentol                                                 ,R02XOT8V8I
1033,0408010AH,Lacosamide                                                  ,563KS2PQY5
1034,0408010AI,Eslicarbazepine Acetate                                     ,[]
1035,0408010AJ,Retigabine                                                  ,[]
1036,0408010AK,Perampanel                                                  ,H821664NPK
1037,0408010AL,Brivaracetam                                                ,U863JGG2IA
1038,0408010A0,Levetiracetam                                               ,44YRR34555
1039,0408010B0,Beclamide                                                   ,F5N0ALI65V
1040,0408010C0,Carbamazepine                                               ,33CM23913M
1041,0408010D0,Oxcarbazepine                                               ,VZI5B1W380
1042,0408010F0,Clonazepam                                                  ,5PE9FDE8GB
1043,0408010G0,Gabapentin                                                  ,6CW7F3G59X
1044,0408010H0,Lamotrigine                                                 ,U3H27498KS
1045,0408010I0,Ethosuximide                                                ,5SEH9X1D1D
1046,0408010K0,Mesuximide                                                  ,[]
1047,0408010L0,Methylphenobarbital                                         ,5NC67NU76B
1048,0408010M0,Pheneturide                                                 ,878CEJ4HGX
1049,0408010N0,Phenobarbital                                               ,YQE403BP4D
1050,0408010P0,Phenobarbital Sod                                           ,YQE403BP4D
1051,0408010Q0,Phenytoin Sodium                                            ,6158TKW0C5
1052,0408010R0,Mephenytoin                                                 ,R420KW629U
1053,0408010S0,Phenobarbital & Phenytoin                                   ,YQE403BP4D
1054,0408010T0,Phensuximide                                                ,6WVL9C355G
1055,0408010U0,Primidone                                                   ,13AFD7670Q
1056,0408010V0,Trimethadione                                               ,R7GV3H6FQ4
1057,0408010W0,Sodium Valproate                                            ,[]
1058,0408010X0,Vigabatrin                                                  ,GR120KRT6K
1059,0408010Y0,Sultiame                                                    ,[]
1060,0408010Z0,Phenytoin                                                   ,6158TKW0C5
1061,040801000,Other Preparations                                          ,[]
1062,040801020,Valproic Acid                                               ,614OI1Z5WI
1063,040801030,Barbexaclone                                                ,291GX1YB65
1064,040801050,Topiramate                                                  ,0H73WJJ391
1065,040801060,Clobazam                                                    ,2MRO291B4U
1066,0408020D0,Clonazepam                                                  ,5PE9FDE8GB
1067,0408020Q0,Paraldehyde                                                 ,S6M3YBG8QA
1068,0408020T0,Phenytoin Sodium                                            ,6158TKW0C5
1069,0408020U0,Fosphenytoin Sodium                                         ,B4SF212641
1070,0408020V0,Midazolam Maleate                                           ,R60L0SM5BC
1071,0408020W0,Midazolam Hydrochloride                                     ,R60L0SM5BC
1072,0409010A0,Apomorphine Hydrochloride                                   ,N21FAR7B4S
1073,0409010B0,Amantadine Hydrochloride                                    ,BF4C9Z1J53
1074,0409010C0,Benserazide Hydrochloride                                   ,[]
1075,0409010D0,Carbidopa                                                   ,[]
1076,0409010H0,Ropinirole Hydrochloride                                    ,030PYR8953
1077,0409010I0,Levodopa                                                    ,46627O600J
1078,0409010K0,Co-Beneldopa (Benserazide/Levodopa)                         ,[]
1079,0409010L0,Lisuride Maleate                                            ,E0QN3D755O
1080,0409010M0,Memantine Hydrochloride                                     ,W8O17SJF3T
1081,0409010N0,Co-Careldopa (Carbidopa/Levodopa)                           ,[]
1082,0409010P0,Pergolide Mesilate                                          ,24MJ822NZ9
1083,0409010Q0,Piribedil                                                   ,DO22K1PRDJ
1084,0409010S0,Tolcapone                                                   ,CIF6334OLY
1085,0409010T0,Selegiline Hydrochloride                                    ,2K1V7GP655
1086,0409010U0,Cabergoline                                                 ,LL60K9J05T
1087,0409010V0,Entacapone                                                  ,4975G9NM6T
1088,0409010W0,Pramipexole                                                 ,83619PEU5T
1089,0409010X0,Levodopa/Carbidopa/Entacapone                               ,46627O600J
1090,0409010Y0,Rasagiline Mesilate                                         ,003N66TS6T
1091,0409010Z0,Rotigotine                                                  ,87T4T8BO2E
1092,0409020C0,Trihexyphenidyl Hydrochloride                               ,6RC5V8B7PO
1093,0409020E0,Benzatropine Mesilate                                       ,1NHL2J4X8K
1094,0409020G0,Biperiden Hydrochloride                                     ,0FRP6G56LD
1095,0409020H0,Biperiden Lactate                                           ,0FRP6G56LD
1096,0409020I0,Chlorphenoxamine Hydrochloride                              ,3UVD77BP8R
1097,0409020L0,Metixene Hydrochloride                                      ,32VY6L26ZW
1098,0409020N0,Orphenadrine Hydrochloride                                  ,AL805O9OG9
1099,0409020S0,Procyclidine Hydrochloride                                  ,C6QE1Q1TKR
1100,0409030A0,Botulinum Toxin Type B                                      ,0Y70779M1F
1101,0409030B0,Botulinum Toxin Type A                                      ,E211KPY694
1102,0409030C0,Tetrabenazine                                               ,Z9O08YRN8O
1103,0409030P0,Piracetam                                                   ,ZH516LNZ10
1104,0409030R0,Riluzole                                                    ,7LJ087RS6F
1105,0409030S0,Tafamidis                                                   ,8FG9H9D31J
1106,0410010A0,Acamprosate Calcium                                         ,N4K14YGM3J
1107,0410010B0,Disulfiram                                                  ,TR3MLJ1UAI
1108,0410010C0,Citrated Calcium Carbimide                                  ,SY7Q814VUP
1109,0410010D0,Nalmefene                                                   ,TOV02TDP9I
1110,0410020A0,Bupropion Hydrochloride                                     ,01ZG3TPX31
1111,0410020B0,Nicotine                                                    ,6M3C89ZY6R
1112,0410020C0,Varenicline Tartrate                                        ,W6HS99O8ZO
1113,0410020D0,Nicotine Bitartrate                                         ,6M3C89ZY6R
1114,0410030A0,Buprenorphine Hydrochloride                                 ,40D3SCR4GZ
1115,0410030B0,Buprenorph HCl/Naloxone HCl                                 ,[]
1116,0410030C0,Methadone Hydrochloride                                     ,UC6VBE7V1Z
1117,0410030D0,Lofexidine Hydrochloride                                    ,UI82K0T627
1118,0410030E0,Naltrexone Hydrochloride                                    ,5S6W795CQM
1119,0410030F0,Levacetylmethadol Hydrochloride                             ,R3B637Y991
1120,0411000D0,Donepezil Hydrochloride                                     ,8SSC91326P
1121,0411000E0,Rivastigmine                                                ,PKI06M3IW0
1122,0411000F0,Galantamine                                                 ,0D3Q044KCA
1123,0411000G0,Memantine Hydrochloride                                     ,W8O17SJF3T
1124,0411000H0,Idebenone                                                   ,[]
1125,0501011C0,Benethamine Penicillin                                      ,[]
1126,0501011F0,Benzathine Penicillin                                       ,[]
1127,0501011I0,Benzylpenicillin (Penicillin G)                             ,Q42T66VG0C
1128,0501011J0,Benzylpenicillin Sodium (Penicillin G)                      ,Q42T66VG0C
1129,0501011K0,Penamecillin                                                ,H0P1YE5581
1130,0501011L0,Pheneticillin Potassium                                     ,RWP5GA015D
1131,0501011P0,Phenoxymethylpenicillin (Penicillin V)                      ,Z61I075U2W
1132,0501011T0,Procaine Benzylpenicillin                                   ,Q42T66VG0C
1133,0501011V0,Propicillin Potassium                                       ,RWP5GA015D
1134,0501011W0,Benethamine Penicillin/Benzylpenicillin                     ,Q42T66VG0C
1135,0501012D0,Cloxacillin                                                 ,O6X5QGC2VB
1136,0501012G0,Flucloxacillin Sodium                                       ,43B2M34G2V
1137,0501012H0,Flucloxacillin Magnesium                                    ,43B2M34G2V
1138,0501012K0,Methicillin Sodium                                          ,[]
1139,0501012U0,Temocillin Sodium                                           ,03QB156W6I
1140,0501013B0,Amoxicillin                                                 ,9EM05410Q9
1141,0501013C0,Amoxicillin Sodium                                          ,9EM05410Q9
1142,0501013D0,Ampicillin With Sulbactam                                   ,S4TF6I2330
1143,0501013E0,Ampicillin                                                  ,7C782967RD
1144,0501013F0,Ampicillin With Cloxacillin                                 ,O6X5QGC2VB
1145,0501013G0,Bacampicillin Hydrochloride                                 ,8GM2J22278
1146,0501013J0,Ciclacillin                                                 ,[]
1147,0501013K0,Co-Amoxiclav (Amoxicillin/Clavul Acid)                      ,[]
1148,0501013L0,Co-Fluampicil(Flucloxacillin/Ampicillin)                    ,[]
1149,0501013M0,Mezlocillin                                                 ,OH2O403D1G
1150,0501013T0,Pivampicillin                                               ,0HLM346LL7
1151,0501013U0,Pivampicillin With Pivmecillinam                            ,0HLM346LL7
1152,0501013V0,Talampicillin Hydrochloride                                 ,29OJI73DPC
1153,0501013W0,Sultamicillin Tosilate                                      ,65DT0ML581
1154,0501014C0,Azlocillin Sodium                                           ,HUM6H389W0
1155,0501014G0,Carbenicillin Sodium                                        ,G42ZU72N5G
1156,0501014H0,Carbenicillin Sod With Sod Chloride                         ,G42ZU72N5G
1157,0501014J0,Carfecillin Sodium                                          ,9UU4XDB74X
1158,0501014L0,Piperacillin Sodium With Sodium Chloride                    ,9I628532GX
1159,0501014M0,Piperacillin Sodium                                         ,9I628532GX
1160,0501014N0,Ticarcillin With Clavulanic Acid                            ,F93UJX4SWT
1161,0501014P0,Ticarcillin Sodium                                          ,F93UJX4SWT
1162,0501014R0,Ticarcillin Sodium With Sodium Chloride                     ,F93UJX4SWT
1163,0501014S0,Piperacillin Sodium/Tazobactam Sodium                       ,9I628532GX
1164,0501015H0,Mecillinam                                                  ,[]
1165,0501015P0,Pivmecillinam Hydrochloride                                 ,1WAM1OQ30B
1166,0501020AA,Cefprozil                                                   ,S1SDI2FJIY
1167,0501020G0,Cefodizime Sodium                                           ,Z31298J4HQ
1168,0501020J0,Cefsulodin Sodium                                           ,OV42LHE42B
1169,0501020N0,Ceftizoxime Sodium                                          ,C43C467DPE
1170,0501020S0,Cefalotin                                                   ,R72LW146E6
1171,0501020T0,Cefamandole                                                 ,5CKP8C2LLI
1172,0501020U0,Ceftibuten                                                  ,IW71N46B4Y
1173,0501020V0,Cefazolin Sodium                                            ,IHS69L0Y4T
1174,0501020Y0,Latamoxef Disodium                                          ,VUF6C936Z3
1175,0501020Z0,Cefradine With Sodium Chloride                              ,9YA6SX5S4D
1176,050102020,Cefpirome Sulfate                                           ,S72Q2F09HY
1177,0501021A0,Cefaclor                                                    ,3Z6FS3IK0K
1178,0501021B0,Cefadroxil                                                  ,Q525PA8JJB
1179,0501021C0,Cefixime                                                    ,XZ7BG04GJX
1180,0501021D0,Cefotaxime Sodium                                           ,N2GI8B1GK7
1181,0501021E0,Cefoxitin Sodium                                            ,6OEV9DX57Y
1182,0501021F0,Cefpodoxime                                                 ,7R4F94TVGY
1183,0501021G0,Ceftriaxone Sodium                                          ,75J73V1629
1184,0501021H0,Ceftazidime Pentahydrate                                    ,DZR1ENT301
1185,0501021I0,Ceftazidime With Sodium Chloride                            ,DZR1ENT301
1186,0501021J0,Cefuroxime Sodium                                           ,O1R9FJ93ED
1187,0501021K0,Cefuroxime Axetil                                           ,O1R9FJ93ED
1188,0501021L0,Cefalexin                                                   ,[]
1189,0501021M0,Cefradine                                                   ,9YA6SX5S4D
1190,0501022A0,Meropenem                                                   ,YOP6PX0BAO
1191,0501022B0,Ertapenem Sodium                                            ,G32F6EID2H
1192,0501022C0,Doripenem                                                   ,BHV525JOBH
1193,0501022D0,Imipenem With Cilastatin                                    ,141A6AMN38
1194,0501023A0,Aztreonam                                                   ,G2B4VE5GH8
1195,0501023B0,Aztreonam With Sodium Chloride                              ,G2B4VE5GH8
1196,0501030B0,Chlortetracycline Hydrochloride                             ,WCK1KIQ23Q
1197,0501030D0,Clomocycline Sodium                                         ,YP0241BU76
1198,0501030F0,Demeclocycline Hydrochloride                                ,5R5W9ICI6O
1199,0501030I0,Doxycycline Hyclate                                         ,334895S862
1200,0501030L0,Lymecycline                                                 ,7D6EM3S13P
1201,0501030M0,Methacycline Hydrochloride                                  ,[]
1202,0501030P0,Minocycline Hydrochloride                                   ,FYY3R43WGO
1203,0501030T0,Oxytetracycline                                             ,SLF0D9077S
1204,0501030V0,Tetracycline                                                ,F8VB5M810T
1205,0501030W0,Tetracycline Buffered Complex                               ,F8VB5M810T
1206,0501030X0,Tetracycline Combined Preparations                          ,F8VB5M810T
1207,0501030Y0,Tigecycline                                                 ,70JE2N95KR
1208,0501030Z0,Doxycycline Monohydrate                                     ,334895S862
1209,0501040C0,Amikacin                                                    ,84319SGC3C
1210,0501040D0,Amikacin With Sodium Chloride                               ,84319SGC3C
1211,0501040F0,Framycetin Sulfate                                          ,4BOC774388
1212,0501040H0,Gentamicin Sulfate                                          ,T6Z9V48IKG
1213,0501040I0,Gentamicin Sulfate With Sodium Chloride                     ,T6Z9V48IKG
1214,0501040K0,Kanamycin                                                   ,EQK9Q303C5
1215,0501040N0,Neomycin Sulfate                                            ,I16QD7X297
1216,0501040R0,Netilmicin Sulfate                                          ,4O5J85GJJB
1217,0501040U0,Tobramycin                                                  ,VZ8RRZ51VK
1218,0501040V0,Tobramycin With Sodium Chloride                             ,VZ8RRZ51VK
1219,0501050A0,Azithromycin                                                ,J2KLZ20U1M
1220,0501050B0,Clarithromycin                                              ,H1250JIK0A
1221,0501050C0,Erythromycin                                                ,63937KV33D
1222,0501050F0,Erythromycin Estolate                                       ,63937KV33D
1223,0501050H0,Erythromycin Ethylsuccinate                                 ,63937KV33D
1224,0501050K0,Erythromycin Lactobionate                                   ,63937KV33D
1225,0501050N0,Erythromycin Stearate                                       ,63937KV33D
1226,0501050S0,Spiramycin                                                  ,033ECH6IFG
1227,0501050T0,Telithromycin                                               ,KI8H7H19WL
1228,0501050U0,Roxithromycin                                               ,21KOF230FA
1229,0501060D0,Clindamycin Hydrochloride                                   ,3U02EL437C
1230,0501060E0,Clindamycin Phosphate                                       ,3U02EL437C
1231,0501060J0,Lincomycin Hydrochloride                                    ,BOD072YW0F
1232,0501070AA,Taurolidine                                                 ,8OBZ1M4V3V
1233,0501070AB,Nitazoxanide                                                ,SOA12P041N
1234,0501070AC,Fidaxomicin                                                 ,Z5N076G8YQ
1235,0501070AD,Tedizolid                                                   ,97HLQ82NGL
1236,0501070E0,Nifuroxazide                                                ,PM5LI0P38J
1237,0501070F0,Chloramphenicol                                             ,66974FR9Q1
1238,0501070H0,Colistin Sulfate                                            ,Z67X93HJG1
1239,0501070I0,Colistimethate Sodium                                       ,[]
1240,0501070J0,Novobiocin                                                  ,[]
1241,0501070K0,Polymyxin B Sulfate                                         ,[]
1242,0501070M0,Fusidic Acid                                                ,59XE10C19C
1243,0501070N0,Sodium Fusidate                                             ,[]
1244,0501070R0,Spectinomycin Hydrochloride                                 ,93AKI1U6QF
1245,0501070T0,Teicoplanin                                                 ,4U3D3YY81M
1246,0501070U0,Vancomycin Hydrochloride                                    ,6Q205EH1VU
1247,0501070V0,Quinupristin/Dalfopristin                                   ,[]
1248,0501070W0,Linezolid                                                   ,ISQ9I6J12J
1249,0501070X0,Rifaximin                                                   ,L36O5T016N
1250,0501070Y0,Daptomycin                                                  ,NWQ5N31VKK
1251,0501070Z0,Pristinamycin                                               ,4O8O7Q7IU4
1252,0501080B0,Calcium Sulfaloxate                                         ,SY7Q814VUP
1253,0501080D0,Co-Trimoxazole(Trimethoprim/Sulfamethox                     ,[]
1254,0501080E0,Mixed Sulfonamides                                          ,[]
1255,0501080F0,Phthalylsulfhathiazole                                      ,[]
